polski polish
słowo word
kod code
zdolny able
około about
ponad above
akceptować accept
konto account
kwas acid
poprzez across
postępować act
dodawać add
dodatek addition
regulacja adjustment
reklama advertisement
później after
znowu again
przeciwko against
wiek age
przed ago
porozumienie agreement
powietrze air
wszystko all
pozwalać allow
niemal almost
również also
zawsze always
wśród among
ilość amount
rozbawienie amusement
oraz and
kąt angle
rozgniewany angry
zwierzę animal
odpowiedź answer
mrówka ant
jakikolwiek any
sprzęt apparatus
jabłko apple
zgoda approval
łuk arch
obszar area
spór argument
ręka arm
wojsko army
sztuka art
jak as
zapytać ask
przy at
próba attempt
zainteresowanie attention
